cod;genero;raca;nome;regiao;periodo;valor
35;homem;nao negro;SP;Sudeste;2004;5958
28;homem;nao negro;SE;Nordeste;2004;43
17;homem;nao negro;TO;Norte;2004;45
12;homem;nao negro;AC;Norte;2005;26
27;homem;nao negro;AL;Nordeste;2005;61
16;homem;nao negro;AP;Norte;2005;20
13;homem;nao negro;AM;Norte;2005;66
29;homem;nao negro;BA;Nordeste;2005;150
23;homem;nao negro;CE;Nordeste;2005;138
53;homem;nao negro;DF;Centro-Oeste;2005;81
32;homem;nao negro;ES;Sudeste;2005;213
52;homem;nao negro;GO;Centro-Oeste;2005;361
21;homem;nao negro;MA;Nordeste;2005;130
51;homem;nao negro;MT;Centro-Oeste;2005;227
50;homem;nao negro;MS;Centro-Oeste;2005;230
31;homem;nao negro;MG;Sudeste;2005;999
15;homem;nao negro;PA;Norte;2005;155
25;homem;nao negro;PB;Nordeste;2005;43
41;homem;nao negro;PR;Sul;2005;2094
26;homem;nao negro;PE;Nordeste;2005;414
22;homem;nao negro;PI;Nordeste;2005;43
33;homem;nao negro;RJ;Sudeste;2005;2238
24;homem;nao negro;RN;Nordeste;2005;65
43;homem;nao negro;RS;Sul;2005;1415
11;homem;nao negro;RO;Norte;2005;134
14;homem;nao negro;RR;Norte;2005;18
42;homem;nao negro;SC;Sul;2005;422
35;homem;nao negro;SP;Sudeste;2005;4575
28;homem;nao negro;SE;Nordeste;2005;69
17;homem;nao negro;TO;Norte;2005;35
12;homem;nao negro;AC;Norte;2006;36
27;homem;nao negro;AL;Nordeste;2006;62
16;homem;nao negro;AP;Norte;2006;11
13;homem;nao negro;AM;Norte;2006;77
29;homem;nao negro;BA;Nordeste;2006;183
23;homem;nao negro;CE;Nordeste;2006;148
53;homem;nao negro;DF;Centro-Oeste;2006;70
32;homem;nao negro;ES;Sudeste;2006;211
52;homem;nao negro;GO;Centro-Oeste;2006;332
21;homem;nao negro;MA;Nordeste;2006;135
51;homem;nao negro;MT;Centro-Oeste;2006;212
50;homem;nao negro;MS;Centro-Oeste;2006;265
31;homem;nao negro;MG;Sudeste;2006;1103
15;homem;nao negro;PA;Norte;2006;139
25;homem;nao negro;PB;Nordeste;2006;38
41;homem;nao negro;PR;Sul;2006;2326
26;homem;nao negro;PE;Nordeste;2006;351
22;homem;nao negro;PI;Nordeste;2006;47
33;homem;nao negro;RJ;Sudeste;2006;2217
24;homem;nao negro;RN;Nordeste;2006;71
43;homem;nao negro;RS;Sul;2006;1457
11;homem;nao negro;RO;Norte;2006;125
14;homem;nao negro;RR;Norte;2006;31
42;homem;nao negro;SC;Sul;2006;439
35;homem;nao negro;SP;Sudeste;2006;4315
28;homem;nao negro;SE;Nordeste;2006;76
17;homem;nao negro;TO;Norte;2006;34
12;homem;nao negro;AC;Norte;2007;26
27;homem;nao negro;AL;Nordeste;2007;65
16;homem;nao negro;AP;Norte;2007;17
13;homem;nao negro;AM;Norte;2007;38
29;homem;nao negro;BA;Nordeste;2007;233
23;homem;nao negro;CE;Nordeste;2007;185
53;homem;nao negro;DF;Centro-Oeste;2007;94
32;homem;nao negro;ES;Sudeste;2007;245
52;homem;nao negro;GO;Centro-Oeste;2007;341
21;homem;nao negro;MA;Nordeste;2007;144
51;homem;nao negro;MT;Centro-Oeste;2007;230
50;homem;nao negro;MS;Centro-Oeste;2007;274
31;homem;nao negro;MG;Sudeste;2007;1030
15;homem;nao negro;PA;Norte;2007;164
25;homem;nao negro;PB;Nordeste;2007;32
41;homem;nao negro;PR;Sul;2007;2220
26;homem;nao negro;PE;Nordeste;2007;246
22;homem;nao negro;PI;Nordeste;2007;50
33;homem;nao negro;RJ;Sudeste;2007;1883
24;homem;nao negro;RN;Nordeste;2007;84
43;homem;nao negro;RS;Sul;2007;1574
11;homem;nao negro;RO;Norte;2007;94
14;homem;nao negro;RR;Norte;2007;20
42;homem;nao negro;SC;Sul;2007;450
35;homem;nao negro;SP;Sudeste;2007;3315
28;homem;nao negro;SE;Nordeste;2007;66
17;homem;nao negro;TO;Norte;2007;29
12;homem;nao negro;AC;Norte;2008;18
27;homem;nao negro;AL;Nordeste;2008;55
16;homem;nao negro;AP;Norte;2008;6
13;homem;nao negro;AM;Norte;2008;40
29;homem;nao negro;BA;Nordeste;2008;311
23;homem;nao negro;CE;Nordeste;2008;176
53;homem;nao negro;DF;Centro-Oeste;2008;98
32;homem;nao negro;ES;Sudeste;2008;234
52;homem;nao negro;GO;Centro-Oeste;2008;364
21;homem;nao negro;MA;Nordeste;2008;144
51;homem;nao negro;MT;Centro-Oeste;2008;211
50;homem;nao negro;MS;Centro-Oeste;2008;274
31;homem;nao negro;MG;Sudeste;2008;938
15;homem;nao negro;PA;Norte;2008;186
25;homem;nao negro;PB;Nordeste;2008;42
41;homem;nao negro;PR;Sul;2008;2413
26;homem;nao negro;PE;Nordeste;2008;387
22;homem;nao negro;PI;Nordeste;2008;46
33;homem;nao negro;RJ;Sudeste;2008;1644
24;homem;nao negro;RN;Nordeste;2008;93
43;homem;nao negro;RS;Sul;2008;1685
11;homem;nao negro;RO;Norte;2008;120
14;homem;nao negro;RR;Norte;2008;19
42;homem;nao negro;SC;Sul;2008;600
35;homem;nao negro;SP;Sudeste;2008;3263
28;homem;nao negro;SE;Nordeste;2008;65
17;homem;nao negro;TO;Norte;2008;37
12;homem;nao negro;AC;Norte;2009;10
27;homem;nao negro;AL;Nordeste;2009;46
16;homem;nao negro;AP;Norte;2009;9
13;homem;nao negro;AM;Norte;2009;37
