cod;nome;regiao;periodo;valor
28;SE;Nordeste;2011;731
35;SP;Sudeste;2011;5842
17;TO;Norte;2011;361
28;SE;Nordeste;2012;879
12;AC;Norte;2012;208
27;AL;Nordeste;2012;2046
13;AM;Norte;2012;1344
16;AP;Norte;2012;253
29;BA;Nordeste;2012;6148
23;CE;Nordeste;2012;3841
53;DF;Centro-Oeste;2012;954
32;ES;Sudeste;2012;1667
52;GO;Centro-Oeste;2012;2793
21;MA;Nordeste;2012;1777
31;MG;Sudeste;2012;4562
35;SP;Sudeste;2012;6566
50;MS;Centro-Oeste;2012;683
51;MT;Centro-Oeste;2012;1074
17;TO;Norte;2012;379
15;PA;Norte;2012;3236
25;PB;Nordeste;2012;1525
26;PE;Nordeste;2012;3327
22;PI;Nordeste;2012;525
41;PR;Sul;2012;3489
33;RJ;Sudeste;2012;4772
24;RN;Nordeste;2012;1124
11;RO;Norte;2012;526
14;RR;Norte;2012;144
43;RS;Sul;2012;2382
42;SC;Sul;2012;821
51;MT;Centro-Oeste;2013;1158
12;AC;Norte;2013;234
27;AL;Nordeste;2013;2148
13;AM;Norte;2013;1191
16;AP;Norte;2013;225
29;BA;Nordeste;2013;5694
23;CE;Nordeste;2013;4473
53;DF;Centro-Oeste;2013;837
32;ES;Sudeste;2013;1622
52;GO;Centro-Oeste;2013;2975
21;MA;Nordeste;2013;2163
31;MG;Sudeste;2013;4717
50;MS;Centro-Oeste;2013;630
15;PA;Norte;2013;3405
25;PB;Nordeste;2013;1551
26;PE;Nordeste;2013;3124
22;PI;Nordeste;2013;598
41;PR;Sul;2013;2936
33;RJ;Sudeste;2013;5111
24;RN;Nordeste;2013;1447
11;RO;Norte;2013;483
14;RR;Norte;2013;214
43;RS;Sul;2013;2322
42;SC;Sul;2013;789
28;SE;Nordeste;2013;965
35;SP;Sudeste;2013;6035
17;TO;Norte;2013;349
17;TO;Norte;2014;381
12;AC;Norte;2014;232
27;AL;Nordeste;2014;2085
13;AM;Norte;2014;1240
16;AP;Norte;2014;256
29;BA;Nordeste;2014;6052
23;CE;Nordeste;2014;4626
53;DF;Centro-Oeste;2014;843
32;ES;Sudeste;2014;1609
52;GO;Centro-Oeste;2014;2887
21;MA;Nordeste;2014;2462
31;MG;Sudeste;2014;4724
50;MS;Centro-Oeste;2014;700
51;MT;Centro-Oeste;2014;1358
15;PA;Norte;2014;3446
25;PB;Nordeste;2014;1551
26;PE;Nordeste;2014;3358
22;PI;Nordeste;2014;717
41;PR;Sul;2014;2980
33;RJ;Sudeste;2014;5718
24;RN;Nordeste;2014;1602
11;RO;Norte;2014;578
14;RR;Norte;2014;158
43;RS;Sul;2014;2724
42;SC;Sul;2014;905
28;SE;Nordeste;2014;1097
35;SP;Sudeste;2014;6185
15;PA;Norte;2015;3675
12;AC;Norte;2015;217
27;AL;Nordeste;2015;1748
13;AM;Norte;2015;1472
16;AP;Norte;2015;293
29;BA;Nordeste;2015;6012
23;CE;Nordeste;2015;4163
53;DF;Centro-Oeste;2015;742
32;ES;Sudeste;2015;1450
52;GO;Centro-Oeste;2015;2997
21;MA;Nordeste;2015;2438
31;MG;Sudeste;2015;4532
50;MS;Centro-Oeste;2015;634
51;MT;Centro-Oeste;2015;1203
25;PB;Nordeste;2015;1522
26;PE;Nordeste;2015;3847
22;PI;Nordeste;2015;650
41;PR;Sul;2015;2936
33;RJ;Sudeste;2015;5067
24;RN;Nordeste;2015;1545
11;RO;Norte;2015;600
14;RR;Norte;2015;203
43;RS;Sul;2015;2944
42;SC;Sul;2015;957
28;SE;Nordeste;2015;1303
35;SP;Sudeste;2015;5427
17;TO;Norte;2015;503
12;AC;Norte;2016;363
27;AL;Nordeste;2016;1820
13;AM;Norte;2016;1452
16;AP;Norte;2016;381
29;BA;Nordeste;2016;7171
23;CE;Nordeste;2016;3642
53;DF;Centro-Oeste;2016;760
32;ES;Sudeste;2016;1270
52;GO;Centro-Oeste;2016;3036
21;MA;Nordeste;2016;2408
31;MG;Sudeste;2016;4622
50;MS;Centro-Oeste;2016;671
51;MT;Centro-Oeste;2016;1180
15;PA;Norte;2016;4223
25;PB;Nordeste;2016;1355
26;PE;Nordeste;2016;4447
17;TO;Norte;2016;577
22;PI;Nordeste;2016;701
41;PR;Sul;2016;3080
33;RJ;Sudeste;2016;6053
24;RN;Nordeste;2016;1854
11;RO;Norte;2016;703
14;RR;Norte;2016;204
43;RS;Sul;2016;3225
42;SC;Sul;2016;984
28;SE;Nordeste;2016;1465
35;SP;Sudeste;2016;4870
15;PA;Norte;2017;4575
11;RO;Norte;2017;554
53;DF;Centro-Oeste;2017;610
52;GO;Centro-Oeste;2017;2901
51;MT;Centro-Oeste;2017;1102
50;MS;Centro-Oeste;2017;659
43;RS;Sul;2017;3316
42;SC;Sul;2017;1066
41;PR;Sul;2017;2759
35;SP;Sudeste;2017;4631
33;RJ;Sudeste;2017;6416
32;ES;Sudeste;2017;1521
31;MG;Sudeste;2017;4299
29;BA;Nordeste;2017;7487
12;AC;Norte;2017;516
13;AM;Norte;2017;1674
28;SE;Nordeste;2017;1313
27;AL;Nordeste;2017;1813
26;PE;Nordeste;2017;5419
25;PB;Nordeste;2017;1341
24;RN;Nordeste;2017;2203
23;CE;Nordeste;2017;5433
22;PI;Nordeste;2017;626
21;MA;Nordeste;2017;2180
17;TO;Norte;2017;557
16;AP;Norte;2017;383
14;RR;Norte;2017;248
